id,name,type,degree
7f81726ffd696a35f2c9422f,Dream Center,Technology,1
934271022c07755cad9182b0,chips,Technology,1
a309c29c0994fa887d4b363c,Product Information Management,Technology,1
a72e32053e0bb1a43fec04da,cybersecurity technology,Technology,1
ab1aa2c2b352962e1bc6e841,cloud computing service for artificial intelligence,Technology,1
c9a7d8b97db5dc8a30e5bbb0,Microsoft Azure,Technology,1
de4659c0a79aab0713bd45fa,Star Micronics latest solutions,Technology,1
dfaf103884e4f3dc18651858,OX-GPT,Technology,1
eafc0d15a1b9901111a77850,Copilot,Technology,1
eb44304566a583825c83537a,SENSORA™ Cardiac Disease Detection Platform,Technology,1
f77d5cc86b09fa80b611affd,Azure OpenAI Service,Technology,1
fce37aa0b7a4863e734bfae7,FacctViewTM,Technology,1
fe6a169aa1c04e0476499e02,SaaS,Technology,1
